top - 10:20:25 up 23:51,  4 users,  load average: 2.92, 2.78, 2.77
Tasks: 382 total,   5 running, 377 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.5 us, 58.1 sy,  0.0 ni, 28.6 id,  3.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   9866.5 total,    109.8 free,   9441.3 used,    596.3 buff/cache     
MiB Swap:  10240.0 total,   4641.1 free,   5598.9 used.    425.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     92 root      20   0       0      0      0 R 100.0   0.0  45:17.62 kswapd0
 557912 claivea+  20   0 8809920   7.4g    580 R 100.0  76.3   0:28.24 stress
 560615 claivea+  20   0  235336  19504  17388 R  30.8   0.2   0:00.07 top
 560641 claivea+  20   0  233724  17692  16992 R  23.1   0.2   0:00.03 pgrep
 426242 claivea+  20   0 5921024 187060  96672 S   7.7   1.9   1:53.71 plasmas+
 440036 claivea+  20   0 3595368 117344 102464 S   7.7   1.2   2:45.58 Isolate+
 560621 claivea+  20   0  240080  21436  20308 S   7.7   0.2   0:00.07 rsync
 560630 claivea+  20   0  297892   3228   1264 S   7.7   0.0   0:00.01 rsync
      1 root      20   0   24780   5968   5464 S   0.0   0.1   0:12.34 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.18 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     15 root      20   0       0      0      0 S   0.0   0.0   0:09.09 ksoftir+
     16 root      -2   0       0      0      0 I   0.0   0.0   5:07.88 rcu_pre+
     17 root      -2   0       0      0      0 S   0.0   0.0   0:00.02 rcub/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.16 rcu_exp+
     20 root      rt   0       0      0      0 S   0.0   0.0   0:03.85 migrati+
     21 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     24 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     25 root      rt   0       0      0      0 S   0.0   0.0   0:02.96 migrati+
     26 root      20   0       0      0      0 S   0.0   0.0   0:21.71 ksoftir+
     28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/4
     30 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     31 root      rt   0       0      0      0 S   0.0   0.0   0:16.12 migrati+
     32 root      20   0       0      0      0 S   0.0   0.0   0:10.96 ksoftir+
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/6
     36 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     37 root      rt   0       0      0      0 S   0.0   0.0   0:21.74 migrati+
     38 root      20   0       0      0      0 S   0.0   0.0   0:13.73 ksoftir+
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/1
     42 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     43 root      rt   0       0      0      0 S   0.0   0.0   0:04.04 migrati+
     44 root      20   0       0      0      0 S   0.0   0.0   0:11.21 ksoftir+
